Date,Open,High,Low,Close,Volume
07-Jul-10,--,--,--,--,0
08-Jul-10,--,--,--,--,0
09-Jul-10,--,--,--,--,0
12-Jul-10,--,--,--,--,0
13-Jul-10,0.05,0.05,0.04,0.04,2
14-Jul-10,0.06,0.08,0.06,0.06,4
15-Jul-10,0.06,0.06,0.06,0.06,1
16-Jul-10,0.08,0.08,0.07,0.07,2
19-Jul-10,--,--,--,--,0
20-Jul-10,0.07,0.07,0.07,0.07,2
21-Jul-10,0.05,0.05,0.05,0.05,1
22-Jul-10,--,--,--,--,0
23-Jul-10,--,--,--,--,0
26-Jul-10,--,--,--,--,0
27-Jul-10,0.02,0.02,0.02,0.02,1
28-Jul-10,--,--,--,--,0
29-Jul-10,--,--,--,--,0
30-Jul-10,--,--,--,--,0
02-Aug-10,--,--,--,--,0
03-Aug-10,0.01,0.01,0.01,0.01,3
04-Aug-10,--,--,--,--,0
05-Aug-10,0.01,0.01,0.01,0.01,1
